age,job,marital,education,balance,housing,loan,day,month,duration,campaign
59,admin.,married,secondary,2343,yes,no,5,may,1042,1
56,admin.,married,secondary,45,no,no,5,may,1467,1
41,technician,married,secondary,1270,yes,no,5,may,1389,1
55,services,married,secondary,2476,yes,no,5,may,579,1
54,admin.,married,tertiary,184,no,no,5,may,673,2
42,management,single,tertiary,0,yes,yes,5,may,562,2
56,management,married,tertiary,830,yes,yes,6,may,1201,1
60,retired,divorced,secondary,545,yes,no,6,may,1030,1
37,technician,married,secondary,1,yes,no,6,may,608,1
28,services,single,secondary,5090,yes,no,6,may,,3
38,admin.,single,secondary,100,yes,no,7,may,786,1
30,blue-collar,married,secondary,309,yes,no,7,may,1574,2
29,management,married,tertiary,199,yes,yes,7,may,1689,4
46,blue-collar,single,tertiary,460,yes,no,7,may,1102,2
31,technician,single,tertiary,703,yes,no,8,may,943,2
35,management,divorced,tertiary,3837,yes,no,8,may,1084,1
32,blue-collar,single,primary,611,yes,no,8,may,541,3
49,services,married,secondary,-8,yes,no,8,may,,1
41,admin.,married,secondary,55,yes,no,8,may,1120,2
49,admin.,divorced,secondary,168,yes,yes,8,may,513,1
28,admin.,divorced,secondary,785,yes,no,8,may,442,2
43,management,single,tertiary,2067,yes,no,8,may,756,1
43,management,divorced,tertiary,388,yes,no,8,may,2087,2
43,blue-collar,married,primary,-192,yes,no,8,may,1120,2
37,unemployed,single,secondary,381,yes,no,8,may,985,2
35,blue-collar,single,secondary,40,yes,no,9,may,617,4
31,technician,single,tertiary,22,yes,no,9,may,483,3
43,blue-collar,single,secondary,3,yes,no,9,may,,3
31,admin.,married,secondary,307,yes,no,9,may,538,1
28,blue-collar,single,secondary,759,yes,no,9,may,710,1
32,blue-collar,married,secondary,-1,yes,no,9,may,653,1
60,technician,married,primary,65,yes,no,9,may,1028,2
26,blue-collar,single,secondary,82,yes,no,9,may,654,1
40,blue-collar,married,secondary,10,yes,no,9,may,,2
33,blue-collar,divorced,primary,390,yes,no,9,may,665,2
32,management,single,tertiary,311,no,no,12,may,757,2
35,blue-collar,married,primary,414,no,no,13,may,504,4
33,management,divorced,secondary,5,yes,no,13,may,1346,1
38,management,married,tertiary,119,yes,no,13,may,568,4
23,entrepreneur,single,primary,4,yes,no,13,may,395,2
60,blue-collar,married,primary,1262,yes,yes,13,may,1015,1
48,management,married,tertiary,1949,yes,no,13,may,683,2
45,entrepreneur,divorced,tertiary,-395,yes,no,13,may,470,1
36,blue-collar,married,secondary,1165,yes,no,13,may,1001,4
52,management,married,unknown,2240,yes,no,13,may,845,1
35,blue-collar,divorced,primary,300,yes,no,13,may,945,2
43,technician,married,secondary,3285,yes,no,13,may,,2
52,housemaid,married,secondary,3923,yes,no,14,may,942,3
53,technician,divorced,primary,1443,yes,no,14,may,476,1
48,blue-collar,divorced,primary,24,yes,no,14,may,832,1
41,blue-collar,single,primary,1618,yes,no,14,may,1553,1
39,management,divorced,tertiary,517,yes,yes,14,may,1328,1
59,retired,married,secondary,1521,yes,yes,14,may,1125,2
41,blue-collar,married,secondary,2823,yes,no,14,may,858,1
48,blue-collar,married,secondary,1405,yes,no,14,may,629,2
40,admin.,married,secondary,1535,yes,no,14,may,704,1
48,blue-collar,married,secondary,1596,yes,no,14,may,760,1
60,retired,married,primary,1542,yes,no,14,may,930,1
40,technician,single,unknown,3652,yes,no,14,may,1028,2
57,technician,married,tertiary,-1,no,no,14,may,850,2
51,blue-collar,married,secondary,7180,yes,no,14,may,927,1
41,blue-collar,divorced,secondary,5291,yes,no,14,may,1423,3
41,blue-collar,married,secondary,1384,yes,no,15,may,1162,4
52,blue-collar,divorced,primary,-191,yes,no,15,may,755,1
59,blue-collar,married,primary,320,yes,no,15,may,695,1
44,blue-collar,married,unknown,146,yes,no,15,may,483,1
49,unknown,married,primary,341,yes,yes,15,may,520,2
40,services,married,primary,-9,yes,no,15,may,920,2
41,admin.,married,primary,-306,yes,no,15,may,500,1
44,technician,married,tertiary,4580,yes,no,15,may,911,2
60,services,single,primary,313,yes,no,15,may,920,2
29,management,married,tertiary,10576,no,no,15,may,1224,2
41,retired,divorced,primary,-233,yes,no,15,may,1156,2
41,blue-collar,married,primary,2453,yes,no,15,may,1052,1
42,technician,single,secondary,1364,yes,no,15,may,1867,6
36,services,single,unknown,281,yes,no,16,may,515,1
39,technician,married,tertiary,94,yes,yes,16,may,813,1
31,self-employed,single,tertiary,144,yes,no,16,may,676,1
26,blue-collar,married,secondary,246,yes,no,16,may,1143,3
31,blue-collar,married,secondary,92,yes,no,16,may,688,1
29,admin.,single,secondary,163,yes,yes,16,may,803,1
37,services,divorced,secondary,49,yes,no,16,may,619,2
33,blue-collar,single,secondary,-416,yes,no,16,may,767,2
24,technician,single,secondary,409,yes,no,16,may,912,1
50,admin.,divorced,secondary,363,yes,no,16,may,1340,1
27,technician,single,tertiary,3706,yes,no,16,may,897,1
54,management,single,tertiary,4393,yes,no,16,may,1297,3
30,technician,single,secondary,863,yes,no,16,may,1193,5
34,blue-collar,married,primary,695,yes,yes,16,may,1064,4
37,management,single,secondary,792,yes,no,16,may,1187,4
41,admin.,single,secondary,1020,yes,no,19,may,882,1
47,blue-collar,married,secondary,863,yes,no,19,may,943,2
31,admin.,married,secondary,97,yes,no,19,may,607,1
31,blue-collar,married,secondary,754,yes,no,19,may,1022,4
43,services,divorced,secondary,1040,yes,no,19,may,552,3
37,management,divorced,tertiary,122,yes,no,19,may,1622,2
30,technician,single,tertiary,880,yes,yes,19,may,967,6
41,technician,married,secondary,501,yes,no,19,may,579,5
36,blue-collar,married,secondary,4438,yes,no,20,may,446,1
35,blue-collar,divorced,secondary,0,yes,no,20,may,1205,1
29,services,single,secondary,271,yes,no,20,may,1882,2
35,blue-collar,married,primary,102,yes,no,20,may,1334,1
31,blue-collar,married,secondary,2,yes,no,20,may,182,2
35,services,married,secondary,4170,yes,no,20,may,1777,1
34,technician,single,secondary,85,yes,no,20,may,1182,4
31,admin.,single,secondary,431,yes,yes,20,may,1045,1
44,technician,divorced,secondary,982,yes,no,20,may,650,3
36,blue-collar,married,primary,408,yes,yes,20,may,1063,2
35,blue-collar,married,unknown,4822,yes,no,20,may,843,2
41,blue-collar,married,primary,1250,yes,no,20,may,1392,2
31,blue-collar,single,primary,216,yes,no,21,may,565,1
34,blue-collar,married,secondary,1207,yes,no,21,may,905,1
32,technician,married,secondary,791,yes,no,21,may,783,2
36,management,married,tertiary,849,yes,yes,21,may,958,2
30,blue-collar,single,secondary,239,yes,no,21,may,412,1
37,technician,single,secondary,1211,yes,no,21,may,795,1
36,blue-collar,married,primary,599,yes,no,21,may,649,2
31,management,single,tertiary,825,yes,no,21,may,506,2
27,technician,married,secondary,2183,yes,yes,21,may,857,1
34,retired,married,primary,4499,no,no,21,may,1681,1
30,technician,single,tertiary,1289,yes,no,21,may,1697,2
32,technician,single,tertiary,4665,yes,no,21,may,860,2
37,technician,single,secondary,3326,yes,no,21,may,799,1
32,blue-collar,married,secondary,783,yes,no,21,may,923,3
33,blue-collar,married,secondary,0,yes,no,21,may,521,3
35,blue-collar,married,primary,994,yes,no,23,may,1349,8
35,self-employed,divorced,tertiary,1354,yes,no,23,may,736,2
30,blue-collar,single,secondary,239,yes,no,23,may,785,1
45,blue-collar,divorced,primary,-311,yes,no,23,may,1030,1
45,admin.,married,secondary,149,yes,no,23,may,893,3
33,blue-collar,married,secondary,1464,yes,no,23,may,588,3
44,management,divorced,tertiary,5773,no,no,23,may,597,6
40,blue-collar,married,primary,278,yes,no,23,may,1015,3
31,blue-collar,married,secondary,2910,yes,no,23,may,1392,2
30,technician,married,tertiary,541,yes,no,26,may,414,2
44,technician,divorced,secondary,1262,yes,no,26,may,788,11
34,services,married,secondary,-538,yes,no,26,may,682,1
37,blue-collar,married,secondary,125,no,no,26,may,679,2
28,self-employed,single,tertiary,0,yes,no,26,may,1560,2
32,admin.,single,secondary,620,yes,no,26,may,1234,3
37,blue-collar,divorced,secondary,316,yes,no,26,may,642,2
34,management,married,tertiary,2287,yes,no,26,may,895,4
38,admin.,divorced,secondary,198,yes,no,26,may,431,2
28,admin.,single,secondary,460,yes,no,26,may,741,6
31,management,divorced,tertiary,1145,yes,no,26,may,1272,4
59,services,married,secondary,-22,yes,no,26,may,748,3
24,blue-collar,married,secondary,685,yes,no,26,may,896,3
26,services,single,secondary,901,yes,no,26,may,764,2
59,retired,single,secondary,351,yes,no,27,may,1063,5
30,entrepreneur,single,primary,0,yes,yes,27,may,1051,1
37,admin.,married,secondary,274,yes,no,27,may,731,3
30,admin.,single,secondary,-213,yes,yes,27,may,751,1
25,blue-collar,married,secondary,97,yes,no,27,may,709,1
44,services,divorced,secondary,51,yes,yes,27,may,3094,2
29,management,married,tertiary,314,no,no,28,may,938,2
26,management,single,tertiary,6840,yes,no,28,may,1560,2
26,technician,single,secondary,668,yes,no,28,may,576,3
27,services,single,secondary,54,yes,no,28,may,543,2
25,self-employed,single,secondary,1242,yes,no,28,may,615,2
28,management,married,secondary,292,yes,no,28,may,507,1
23,services,single,secondary,665,yes,no,28,may,1183,1
34,management,single,tertiary,1058,yes,no,28,may,864,2
28,student,single,secondary,949,yes,no,28,may,1730,1
51,entrepreneur,married,unknown,606,yes,no,28,may,560,9
35,blue-collar,married,secondary,0,yes,yes,29,may,543,1
35,admin.,married,secondary,404,yes,no,29,may,539,1
56,blue-collar,married,secondary,249,yes,no,29,may,791,2
45,unemployed,divorced,secondary,3354,yes,no,29,may,746,1
60,blue-collar,divorced,secondary,0,yes,no,29,may,1207,1
56,technician,married,secondary,589,yes,no,29,may,535,2
27,management,single,tertiary,12956,yes,no,29,may,789,3
30,admin.,married,secondary,873,yes,no,29,may,792,3
45,blue-collar,divorced,primary,594,yes,no,29,may,833,2
29,blue-collar,single,secondary,-20,yes,no,29,may,814,2
38,management,divorced,tertiary,4692,yes,no,29,may,1363,2
30,blue-collar,married,secondary,486,yes,no,29,may,1109,3
44,blue-collar,single,primary,1593,yes,no,29,may,828,3
36,management,single,tertiary,7606,yes,no,30,may,917,1
38,technician,married,secondary,226,yes,no,30,may,762,3
36,blue-collar,single,secondary,366,yes,yes,30,may,1133,2
37,management,divorced,secondary,16,yes,no,30,may,638,1
35,management,single,tertiary,565,yes,no,30,may,763,1
38,admin.,divorced,secondary,19,yes,no,30,may,604,2
40,services,married,primary,1082,yes,no,30,may,854,2
42,unemployed,divorced,secondary,1713,yes,no,30,may,855,2
46,management,divorced,tertiary,14481,yes,no,30,may,1269,1
35,technician,divorced,secondary,5724,yes,no,30,may,691,10
34,technician,divorced,secondary,1451,yes,no,30,may,1097,15
32,services,married,secondary,-34,yes,no,30,may,1236,2
50,unemployed,married,secondary,3674,yes,no,30,may,886,3
35,blue-collar,married,secondary,698,yes,yes,30,may,1343,3
36,technician,single,secondary,4136,yes,no,30,may,812,3
53,blue-collar,divorced,primary,2656,yes,no,30,may,1980,2
46,management,single,tertiary,2904,yes,no,30,may,984,2
26,management,single,tertiary,1004,yes,no,30,may,228,2
45,technician,single,secondary,410,yes,no,30,may,891,4
31,unemployed,divorced,primary,0,yes,no,30,may,745,12
29,management,single,tertiary,0,yes,no,30,may,539,12
53,entrepreneur,single,secondary,62,yes,no,30,may,1044,5
